Matthäus 1:1	Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:
Matthäus 7:16	An ihren Früchten werdet ihr sie erkennen. Kann man etwa Trauben lesen von Dornbüschen oder Feigen von Disteln?
Matthäus 7:17	So bringt jeder gute Baum gute Früchte, ein fauler Baum aber bringt schlechte Früchte;
Matthäus 7:18	ein guter Baum kann keine schlechten Früchte bringen, und ein fauler Baum kann keine guten Früchte bringen.
Matthäus 7:19	Jeder Baum, der nicht gute Früchte bringt, wird abgehauen und ins Feuer geworfen.
Matthäus 7:20	Also: An ihren Früchten werdet ihr sie erkennen.
Matthäus 7:21	Nicht alle, die ‚Herr, Herr‘ zu mir sagen, werden darum schon ins Himmelreich eingehen, sondern nur, wer den Willen meines himmlischen Vaters tut.
Matthäus 7:22	Viele werden an jenem Tage zu mir sagen: ‚Herr, Herr, haben wir nicht kraft deines Namens prophetisch geredet und kraft deines Namens böse Geister ausgetrieben und kraft deines Namens viele Wundertaten vollführt?‘
Matthäus 7:23	Aber dann werde ich ihnen erklären: Niemals habe ich euch gekannt: Hinweg von mir, ihr Täter der Gesetzlosigkeit!
Matthäus 7:24	Darum wird jeder, der diese meine Worte hört und nach ihnen tut, einem klugen Mann gleichen, der sein Haus auf Felsengrund gebaut hat.
Matthäus 7:25	Da strömte der Platzregen herab, es kamen die Wasserströme, es wehten die Winde und stießen an jenes Haus; doch es stürzte nicht ein, denn es war auf den Felsen gegründet.
Matthäus 7:26	Wer jedoch diese meine Worte hört und nicht nach ihnen tut, der gleicht einem törichten Mann, der sein Haus auf den Sand gebaut hat.
Matthäus 7:27	Da strömte der Platzregen herab, es kamen die Wasserströme, es wehten die Winde und stürmten gegen jenes Haus: Da stürzte es ein, und sein Zusammensturz war gewaltig.“
Matthäus 7:28	Als Jesus diese Rede beendet hatte, waren die Menschenscharen über seine Lehre ganz erschüttert;
Matthäus 7:29	denn er lehrte sie wie einer, der göttliche Vollmacht hat, ganz anders als ihre Schriftgelehrten.
Matthäus 8:1	Als er dann vom Berg hinabgestiegen war, folgten ihm große Menschenscharen nach.
Matthäus 8:2	Da trat ein Aussätziger herzu, warf sich vor ihm nieder und sagte: „Herr, wenn du willst, kannst du mich rein machen.“
Matthäus 8:3	Jesus streckte seine Hand aus, fasste ihn an und sagte: „Ich will’s, werde rein!“ Da wurde er sogleich von seinem Aussatz rein.
Matthäus 8:4	Darauf sagte Jesus zu ihm: „Hüte dich, jemandem etwas davon zu sagen! Gehe vielmehr hin, zeige dich dem Priester und bringe die Opfergabe dar, die Mose geboten hat, zum Zeugnis für sie!“
Matthäus 8:5	Als er hierauf nach Kafarnaum hineinkam, trat ein Hauptmann zu ihm und bat ihn:
Matthäus 8:6	„Herr, mein Diener liegt gelähmt bei mir zu Hause darnieder und leidet schreckliche Schmerzen.“
Matthäus 8:7	Jesus antwortete ihm: „Ich will kommen und ihn heilen.“
Matthäus 8:8	Der Hauptmann aber entgegnete: „Herr, ich bin es nicht wert, dass du unter mein Dach trittst; nein, gebiete es nur mit einem Wort, dann wird mein Diener gesund werden.
Matthäus 8:9	Ich bin ja auch ein Mann, der unter höherem Befehl steht, und habe Mannschaften unter mir, und wenn ich zu dem einen sage: ‚Gehe!‘, so geht er, und zu dem anderen: ‚Komm!‘, so kommt er, und zu meinem Diener: ‚Tu das!‘, so tut er’s.“
Matthäus 8:10	Als Jesus das hörte, verwunderte er sich und sagte zu seinen Begleitern: „Wahrlich, ich sage euch: In Israel habe ich bei niemandem solchen Glauben gefunden.
Matthäus 8:11	Ich sage euch aber: Viele werden von Osten und Westen kommen und sich mit Abraham, Isaak und Jakob im Himmelreich zum Mahl niederlassen;
Matthäus 8:12	aber die Söhne des Reiches werden in die äußere Finsternis hinausgestoßen werden; dort wird lautes Weinen und Zähneknirschen sein.“
Matthäus 8:13	Zu dem Hauptmann aber sagte Jesus: „Geh hin! Wie du geglaubt hast, so geschehe dir!“ Und sein Diener wurde zur selben Stunde gesund.
Matthäus 8:14	Als Jesus dann in das Haus des Petrus gekommen war, sah er dessen Schwiegermutter fieberkrank im Bett liegen.
Matthäus 8:15	Er fasste sie bei der Hand, da wich das Fieber von ihr: Sie stand auf und diente ihm.
Matthäus 8:16	Als es dann Abend geworden war, brachte man viele Besessene zu ihm, und er trieb die bösen Geister durch sein bloßes Wort aus und heilte alle, die ein Leiden hatten.
Matthäus 8:17	So sollte sich das Wort des Propheten Jesaja erfüllen, der da sagt: „Er hat unsere Gebrechen hinweggenommen und unsere Krankheiten getragen.“
Matthäus 8:18	Als Jesus sich dann wieder von großen Menschenscharen umgeben sah, gebot er, an das jenseitige Ufer des Sees hinüberzufahren.
Matthäus 8:19	Da trat ein Schriftgelehrter an ihn heran mit den Worten: „Meister, ich will dir folgen, wohin du auch gehst!“
Matthäus 8:20	Jesus antwortete ihm: „Die Füchse haben Gruben und die Vögel des Himmels Nester; der Menschensohn aber hat keine Stätte, wo er sein Haupt hinlegen kann.“
Matthäus 8:21	Ein anderer von seinen Jüngern sagte zu ihm: „Herr, erlaube mir, zuerst noch hinzugehen und meinen Vater zu begraben!“
Matthäus 8:22	Jesus aber antwortete ihm: „Folge du mir nach, und überlass es den Toten, ihre Toten zu begraben!“
Matthäus 8:23	Jesus stieg dann ins Boot, und seine Jünger folgten ihm.
Matthäus 8:24	Da erhob sich plötzlich ein heftiger Sturm auf dem See, sodass das Boot von den Wellen überflutet wurde; er selbst aber schlief.
Matthäus 8:25	Da traten sie an ihn heran und weckten ihn mit den Worten: „Herr, hilf uns! Wir gehen unter!“
Matthäus 8:26	Er aber antwortete ihnen: „Was seid ihr so furchtsam, ihr Kleingläubigen!“ Dann stand er auf und bedrohte die Winde und den See; da trat völlige Windstille ein.
Matthäus 8:27	Die Leute aber verwunderten sich und sagten: „Was ist das für ein Mann, dass sogar die Winde und der See ihm gehorsam sind!“
Matthäus 8:28	Als er hierauf an das jenseitige Ufer in das Gebiet der Gadarener gekommen war, traten ihm zwei von bösen Geistern besessene Männer entgegen, die aus den Grabhöhlen hervorkamen und so gemeingefährliche Menschen waren, dass niemand auf der Straße dort an ihnen vorbeigehen konnte.
Matthäus 8:29	Kaum hatten sie ihn erblickt, da schrieen sie laut: „Was hast du mit uns vor, du Sohn Gottes? Bist du hergekommen, um uns vor der Zeit zu quälen?“
Matthäus 8:30	Es befand sich aber in weiter Entfernung von ihnen eine große Herde Schweine auf der Weide.
Matthäus 8:31	Da baten ihn die bösen Geister: „Wenn du uns austreiben willst, so lass uns doch in die Schweineherde fahren!“
Matthäus 8:32	Er antwortete ihnen: „Hinweg mit euch!“ Da fuhren sie aus und fuhren in die Schweine hinein, und die ganze Herde stürmte infolgedessen den Abhang hinab in den See und ertrank in den Fluten.
Matthäus 8:33	Die Hirten aber ergriffen die Flucht und berichteten nach ihrer Ankunft in der Stadt den ganzen Vorfall, auch das, was mit den beiden Besessenen vorgegangen war.
Matthäus 8:34	Da zog die Einwohnerschaft der ganzen Stadt hinaus, Jesus entgegen, und als sie bei ihm eingetroffen waren, baten sie ihn, er möge ihr Gebiet verlassen.
Matthäus 9:1	Er stieg nun in ein Boot, fuhr über den See zurück und kam wieder in seine Stadt Kafarnaum.
Matthäus 9:2	Dort brachte man ihm einen Gelähmten, der auf einem Tragbett lag. Weil nun Jesus ihren Glauben sah, sagte er zu dem Gelähmten: „Sei getrost, mein Sohn: Deine Sünden sind dir vergeben!“
Matthäus 9:3	Da dachten einige von den Schriftgelehrten bei sich: „Dieser lästert Gott!“
Matthäus 9:4	Weil nun Jesus ihre Gedanken durchschaute, sagte er: „Warum denkt ihr Böses in eurem Herzen?
Matthäus 9:5	Was ist denn leichter, zu sagen: ‚Deine Sünden sind dir vergeben‘ oder zu sagen: ‚Stehe auf und gehe umher!‘?
Matthäus 9:6	Damit ihr aber wisst, dass der Menschensohn die Vollmacht besitzt, Sünden auf der Erde zu vergeben“, sagte er hierauf zu dem Gelähmten: „Stehe auf, nimm dein Bett und gehe heim in dein Haus!“
Matthäus 9:7	Da stand er auf und ging heim in sein Haus.
Matthäus 9:8	Als die Menschenmenge das sah, gerieten sie in Furcht und priesen Gott, dass er den Menschen solche Macht gegeben hatte.
Matthäus 9:9	Als Jesus dann von dort weiterging, sah er einen Mann namens Matthäus an der Zollstätte sitzen und sagte zu ihm: „Folge mir nach!“ Da stand er auf und folgte ihm.
Matthäus 9:10	Als Jesus dann im Haus des Matthäus zu Tisch saß, kamen viele Zöllner und Sünder und nahmen mit Jesus und seinen Jüngern am Mahl teil.
Matthäus 9:11	Als die Pharisäer das sahen, sagten sie zu seinen Jüngern: „Warum isst euer Meister mit den Zöllnern und Sündern?“
Matthäus 9:12	Als Jesus es hörte, sagte er: „Die Gesunden haben keinen Arzt nötig, wohl aber die Kranken.
Matthäus 9:13	Geht aber hin und lernt das Wort verstehen: ‚An Barmherzigkeit habe ich Wohlgefallen, nicht an Schlachtopfern‘; denn ich bin nicht gekommen, um Gerechte zu rufen, sondern Sünder.“
Matthäus 9:14	Damals traten die Jünger des Johannes an ihn heran mit der Frage: „Warum fasten wir und die Pharisäer zum Zeichen der Frömmigkeit, während deine Jünger es nicht tun?“
Matthäus 9:15	Jesus antwortete ihnen: „Können etwa die Hochzeitsgäste trauern, solange der Bräutigam noch in ihrer Mitte weilt? Es werden aber Tage kommen, wo der Bräutigam ihnen genommen ist: Dann werden sie fasten.
Matthäus 9:16	Niemand setzt aber ein Stück ungewalkten Tuches auf ein altes Kleid; denn der eingesetzte Fleck reißt doch von dem Kleid wieder ab, und es entsteht ein noch schlimmerer Riss.
Matthäus 9:17	Auch füllt man neuen Wein nicht in alte Schläuche; sonst werden die Schläuche gesprengt, und der Wein läuft aus, und auch die Schläuche gehen verloren; nein, man füllt neuen Wein in neue Schläuche: Dann bleiben beide erhalten.“
Matthäus 9:18	Während Jesus noch so zu ihnen redete, trat ein Vorsteher der Synagoge herzu, warf sich vor ihm nieder und sagte: „Meine Tochter ist soeben gestorben; aber komm und lege ihr deine Hand auf, dann wird sie wieder zum Leben erwachen.“
Matthäus 9:19	Da stand Jesus auf und folgte ihm samt seinen Jüngern.
Matthäus 9:20	Und siehe, eine Frau, die seit zwölf Jahren an Blutfluss litt, trat von hinten an ihn heran und fasste den Saum seines Gewandes an;
Matthäus 9:21	sie dachte nämlich bei sich: „Wenn ich nur sein Gewand anfasse, so werde ich geheilt.“
Matthäus 9:22	Jesus aber wandte sich um, und als er sie sah, sagte er: „Sei getrost, meine Tochter, dein Glaube hat dir geholfen!“ Und die Frau war von dieser Stunde an gesund.
Matthäus 9:23	Als Jesus dann in das Haus des Vorstehers kam und die Flötenbläser und das Getümmel der Menschenmenge sah,
Matthäus 9:24	sagte er: „Entfernt euch! Das Mädchen ist nicht tot, sondern schläft nur.“ Da lachten sie ihn aus.
Matthäus 9:25	Als man aber die Menschenmenge aus dem Haus entfernt hatte, ging er zu der Toten hinein und fasste sie bei der Hand: Da erwachte das Mädchen.
Matthäus 9:26	Die Kunde hiervon verbreitete sich in der ganzen dortigen Gegend.
Matthäus 9:27	Als Jesus hierauf von dort weiterging, folgten ihm zwei Blinde, die laut riefen: „Sohn Davids, erbarme dich unser!“
Matthäus 9:28	Als er dann in das Haus gekommen war, traten die Blinden zu ihm heran, und Jesus fragte sie: „Glaubt ihr, dass ich euch dies zu tun vermag?“ Sie antworteten ihm: „Ja, Herr!“
Matthäus 9:29	Da rührte er ihre Augen an und sagte: „Nach eurem Glauben geschehe euch!“
Matthäus 9:30	Da taten sich ihre Augen auf; Jesus aber gab ihnen die strenge Weisung: „Hütet euch! Niemand darf etwas davon erfahren!“
Matthäus 9:31	Sobald sie aber hinausgegangen waren, verbreiteten sie die Kunde von ihm in jener ganzen Gegend.
Matthäus 9:32	Während diese hinausgingen, brachte man schon wieder einen stummen Besessenen zu ihm;
Matthäus 9:33	und als der böse Geist ausgetrieben war, konnte der Stumme reden. Da geriet die Menschenmenge in Staunen und sagte: „Noch niemals hat man etwas Derartiges in Israel gesehen!“
Matthäus 9:34	Die Pharisäer aber erklärten: „Im Bunde mit dem Obersten der bösen Geister treibt er die Geister aus.“
Matthäus 9:35	So durchwanderte Jesus alle Städte und Dörfer, indem er in ihren Synagogen lehrte, das Evangelium vom Reich Gottes verkündigte und alle Krankheiten und alle Gebrechen heilte.
Matthäus 9:36	Beim Anblick der Menschenscharen aber erfasste ihn tiefes Mitleid mit ihnen, denn sie waren abgehetzt und verwahrlost wie Schafe, die keinen Hirten haben.
Matthäus 9:37	Da sagte er zu seinen Jüngern: „Die Ernte ist groß, aber die Zahl der Arbeiter ist klein;
Matthäus 9:38	bittet daher den Herrn der Ernte, dass er Arbeiter auf sein Erntefeld sende!“
Matthäus 10:1	Er rief dann seine zwölf Jünger herbei und verlieh ihnen Macht über die unreinen Geister, sodass sie diese auszutreiben und alle Krankheiten und jedes Gebrechen zu heilen vermochten.
Matthäus 10:2	Die Namen der zwölf Apostel aber sind folgende: Zuerst Simon, der auch Petrus heißt, und sein Bruder Andreas, sodann Jakobus, der Sohn des Zebedäus, und sein Bruder Johannes,
Matthäus 10:3	Philippus und Bartholomäus, Thomas und der Zöllner Matthäus, Jakobus, der Sohn des Alphäus, und Lebbäus mit dem Beinamen Thaddäus,
Matthäus 10:4	Simon, der Kananäer, und Judas, der Iskariote, derselbe, der ihn verraten hat.
Matthäus 10:5	Diese Zwölf sandte Jesus aus, nachdem er ihnen folgende Weisungen gegeben hatte: „Den Weg zu den Heiden schlagt nicht ein und tretet auch in keine Samariterstadt ein,
Matthäus 10:6	geht vielmehr zu den verlorenen Schafen des Hauses Israel.
Matthäus 10:7	Auf eurer Wanderung predigt: ‚Das Himmelreich ist nahe herbeigekommen!‘
Matthäus 10:8	Heilt Kranke, weckt Tote auf, macht Aussätzige rein, treibt böse Geister aus: Umsonst habt ihr’s empfangen, umsonst sollt ihr’s auch weitergeben!
Matthäus 10:9	Schafft euch kein Gold, kein Silber, kein Kupfergeld in eure Gürtel,
Matthäus 10:10	nehmt keine Tasche mit auf den Weg, auch nicht zwei Unterkleider, keine Schuhe und keinen Stock, denn der Arbeiter ist seines Lebensunterhalts wert.
Matthäus 10:11	Wo ihr in eine Stadt oder ein Dorf eintretet, da erkundigt euch, wer dort würdig sei, euch zu beherbergen, und bei dem bleibt, bis ihr weiterzieht.
Matthäus 10:12	Beim Eintritt in das Haus entbietet ihm den Friedensgruß,
Matthäus 10:13	und wenn das Haus es verdient, soll der Friede, den ihr ihm gewünscht habt, ihm auch zuteilwerden; ist es dessen aber nicht würdig, so soll euer ihm gewünschter Friede zu euch zurückkehren.
Matthäus 10:14	Wo man euch nicht aufnimmt und euren Worten kein Gehör schenkt, da geht aus dem betreffenden Haus oder Ort hinaus und schüttelt den Staub von euren Füßen ab!
Matthäus 10:15	Wahrlich, ich sage euch: Dem Land Sodom und Gomorra wird es am Tag des Gerichts erträglicher ergehen als einer solchen Stadt!
Matthäus 10:16	Bedenkt wohl: Ich sende euch wie Schafe mitten unter Wölfe; darum seid klug wie die Schlangen und ohne Falsch wie die Tauben!
Matthäus 10:17	Nehmt euch aber vor den Menschen in Acht! Denn sie werden euch vor die Gerichtshöfe stellen und euch in ihren Synagogen geißeln;
Matthäus 10:18	auch vor Statthalter und Könige werdet ihr um meinetwillen geführt werden, um Zeugnis vor ihnen und den Völkern abzulegen.
Matthäus 10:19	Wenn man euch nun den Gerichten überliefert, so macht euch keine Sorgen darüber, wie oder was ihr reden sollt; denn es wird euch in jener Stunde eingegeben werden, was ihr reden sollt;
Matthäus 10:20	nicht ihr seid es ja, die dann reden, sondern der Geist eures Vaters ist es, der in euch redet.
Matthäus 10:21	Es wird aber ein Bruder den Bruder dem Tod überliefern und ein Vater den Sohn, und Kinder werden gegen ihre Eltern auftreten und sie zu Tode bringen,
Matthäus 10:22	und ihr werdet allen um meines Namens willen verhasst sein; wer aber ausharrt bis ans Ende, der wird errettet werden.
Matthäus 10:23	Wenn man euch aber in der einen Stadt verfolgt, so flieht in eine andere; denn wahrlich, ich sage euch: Ihr werdet mit den Städten Israels noch nicht zu Ende sein, bis der Menschensohn kommt.
Matthäus 10:24	Ein Jünger steht nicht über seinem Meister und ein Knecht nicht über seinem Herrn;
Matthäus 10:25	ein Jünger muss zufrieden sein, wenn es ihm ergeht wie seinem Meister, und ein Knecht, wenn es ihm ergeht wie seinem Herrn. Haben sie den Hausherrn Beelzebul genannt, wie viel mehr werden sie das bei seinen Hausgenossen tun!
Matthäus 10:26	Fürchtet euch nun nicht vor ihnen! Denn nichts ist verhüllt, das nicht enthüllt werden wird, und nichts verborgen, das nicht bekannt werden wird.
Matthäus 10:27	Was ich euch im Dunkel sage, das sprecht im Licht aus, und was ihr von mir ins Ohr geflüstert hört, das ruft auf den Dächern aus!
Matthäus 10:28	Fürchtet euch dabei nicht vor denen, die wohl den Leib töten, aber die Seele nicht zu töten vermögen; fürchtet euch vielmehr vor dem, der die Macht hat, sowohl die Seele als auch den Leib in der Hölle zu verderben!
