Genesis 1:1	Im Anfang schuf Gott den Himmel und die Erde;
Genesis 8:8	Hierauf ließ er die Taube ausfliegen, um zu erfahren, ob das Wasser sich auf der Erdoberfläche verlaufen habe.
Genesis 8:9	Da die Taube aber keinen Ort fand, wo ihre Füße hätten ruhen können, kehrte sie zu ihm zu der Arche zurück; denn das Wasser bedeckte noch die Oberfläche der ganzen Erde. Da streckte er seine Hand hinaus, ergriff sie und nahm sie wieder zu sich in die Arche.
Genesis 8:10	Hierauf wartete er noch weitere sieben Tage und ließ dann die Taube zum zweiten Mal aus der Arche fliegen.
Genesis 8:11	Da kam die Taube um die Abendzeit zu ihm zurück, und siehe da: Sie hatte ein frisches Ölbaumblatt im Schnabel! Daran erkannte Noach, dass das Wasser auf der Erde sich verlaufen hatte.
Genesis 8:12	Nun wartete er nochmals weitere sieben Tage und ließ die Taube wieder ausfliegen; doch diesmal kehrte sie nicht wieder zu ihm zurück.
Genesis 8:13	Und im sechshundertundersten Lebensjahr Noachs, am ersten Tage des ersten Monats, da war das Wasser von der Erde weggetrocknet. Als jetzt Noach das Dach von der Arche abnahm und Ausschau hielt, da war der Erdboden abgetrocknet;
Genesis 8:14	und am siebenundzwanzigsten Tage des zweiten Monats war die Erde ganz trocken geworden.
Genesis 8:15	Da gebot Gott dem Noach:
Genesis 8:16	„Verlass jetzt die Arche, du und mit dir deine Frau und deine Söhne und deine Schwiegertöchter!
Genesis 8:17	Sämtliche Tiere von allen Arten, die bei dir sind, Vögel, Vieh und alles Gewürm, das auf der Erde kriecht, lass mit dir hinausgehen, damit sie sich auf der Erde frei bewegen und fruchtbar seien und sich mehren auf der Erde.“
Genesis 8:18	Da ging Noach mit seinen Söhnen, seiner Frau und seinen Schwiegertöchtern hinaus;
Genesis 8:19	auch alle vierfüßigen Tiere, alles Gewürm, alle Vögel, alles, was sich auf der Erde regt, gingen nach ihren Arten aus der Arche hinaus.
Genesis 8:20	Noach baute dann dem Herrn einen Altar, nahm von allen reinen Tieren und von allen reinen Vögeln je ein Stück und brachte Brandopfer auf dem Altar dar.
Genesis 8:21	Als nun der Herr den lieblichen Duft roch, sagte er bei sich selbst: „Ich will hinfort den Erdboden nicht noch einmal um der Menschen willen verfluchen; denn das Sinnen und Trachten des Menschenherzens ist böse von Jugend auf; auch will ich hinfort nicht noch einmal alles Lebende sterben lassen, wie ich es getan habe.
Genesis 8:22	Hinfort, solange die Erde steht, sollen Säen und Ernten, Frost und Hitze, Sommer und Winter, Tag und Nacht nicht mehr aufhören!“
Genesis 9:1	Dann segnete Gott Noach und seine Söhne mit folgenden Worten: „Seid fruchtbar und mehret euch und füllt die Erde.
Genesis 9:2	Die Furcht und der Schrecken vor euch soll auf allem Getier der Erde liegen und auf allen Vögeln des Himmels! Alles, was sich auf dem Erdboden regt, auch alle Fische des Meeres – in eure Gewalt sind sie gegeben.
Genesis 9:3	Alles, was sich regt und was da lebt, soll euch zur Nahrung dienen: Wie einstmals die grünenden Pflanzen, so weise ich euch jetzt alles zu.
Genesis 9:4	Nur Fleisch, das noch seine Seele, nämlich sein Blut, in sich hat, dürft ihr nicht essen.
Genesis 9:5	Jedoch euer eigenes Blut, um wessen Leben es sich auch bei euch handle, will ich rächen; an jedem Tiere will ich es rächen; und auch an jedem Menschen, an euch untereinander, will ich das Leben jedes Menschen rächen:
Genesis 9:6	Wer Menschenblut vergießt, dessen Blut soll wieder durch Menschen vergossen werden; denn nach seinem Bilde hat Gott den Menschen geschaffen.
Genesis 9:7	Ihr aber – seid fruchtbar und mehrt euch, wimmelt auf der Erde und werdet zahlreich auf ihr!“
Genesis 9:8	Weiter sagte Gott zu Noach und seinen Söhnen, die bei ihm waren, Folgendes:
Genesis 9:9	„Ich will jetzt einen Bund mit euch aufrichten und mit eurer Nachkommenschaft, die nach euch sein wird,
Genesis 9:10	auch mit allen lebenden Wesen, die bei euch sind, mit den Vögeln, den zahmen und allen wilden Tieren, die bei euch sind, nämlich mit allen denen, die aus der Arche herausgegangen sind, mit allem Getier der Erde.
Genesis 9:11	Ich schließe also meinen Bund mit euch, dass hinfort niemals wieder alle lebenden Geschöpfe durch das Wasser einer Sintflut vertilgt werden sollen und dass niemals wieder eine Sintflut eintreten soll, um die Erde zu verheeren!“
Genesis 9:12	Dann fuhr Gott fort: „Dies soll das Zeichen des Bundes sein, den ich zwischen mir und euch und allen lebenden Wesen, die bei euch sind, auf ewige Zeiten festsetze:
Genesis 9:13	Meinen Bogen stelle ich in die Wolken; der soll das Zeichen des Bundes zwischen mir und der Erde sein!
Genesis 9:14	Wenn ich hinfort Gewölk über der Erde sammle und der Bogen in den Wolken sichtbar wird,
Genesis 9:15	dann will ich meines Bundes gedenken, der zwischen mir und euch und allen lebenden Wesen jeglicher Fleischesart besteht; und das Wasser soll niemals wieder zu einer Sintflut werden, um alle lebenden Geschöpfe zu vertilgen.
Genesis 9:16	Nein, wenn der Bogen in den Wolken steht, so will ich ihn anschauen, um des ewigen Bundes zwischen Gott und allen lebenden Wesen von jeglicher Fleischesart, die auf der Erde ist, zu gedenken.“
Genesis 9:17	Und Gott schloss mit den Worten an Noach: „Dies ist das Zeichen des Bundes, den ich zwischen mir und allen lebenden Wesen auf der Erde aufgerichtet habe.“
Genesis 9:18	Die Söhne Noachs, die aus der Arche gingen, waren Sem, Ham und Jafet; Ham aber ist der Vater Kanaans.
Genesis 9:19	Diese drei waren die Söhne Noachs, und von diesen aus ist die ganze Erde bevölkert worden.
Genesis 9:20	Noach aber wurde nun ein Landmann und legte auch einen Weinberg an.
Genesis 9:21	Als er dann aber von dem Weine trank, wurde er trunken und lag entblößt in seinem Zelt.
Genesis 9:22	Als nun Ham, der Vater Kanaans, seinen Vater entblößt hatte daliegen sehen, erzählte er es seinen beiden Brüdern draußen.
Genesis 9:23	Da nahmen Sem und Jafet das Obergewand ihres Vaters, legten es beide gemeinsam auf ihre Schultern, traten rückwärts hinzu und bedeckten ihren entblößten Vater damit; ihr Gesicht aber war dabei abgewandt, sodass sie die Blöße ihres Vaters nicht sahen.
Genesis 9:24	Als nun Noach von seinem Rausch erwachte und erfuhr, wie sein jüngster Sohn sich gegen ihn benommen hatte,
Genesis 9:25	rief er aus: „Verflucht sei Kanaan! Der niedrigste Knecht soll er seinen Brüdern sein!“
Genesis 9:26	Dann fuhr er fort: „Gepriesen sei der Herr, der Gott Sems! Kanaan aber soll sein Knecht sein!
Genesis 9:27	Weiten Raum schaffe Gott dem Jafet, und er wohne in den Zelten Sems! Kanaan aber soll sein Knecht sein!“
Genesis 9:28	Nach der Sintflut lebte Noach noch dreihundertfünfzig Jahre;
Genesis 9:29	demnach betrug die ganze Lebenszeit Noachs neunhundertundfünfzig Jahre; dann starb er.
Genesis 10:1	Dies ist der Stammbaum der Noachsöhne Sem, Ham und Jafet; Söhne wurden ihnen erst nach der Sintflut geboren.
Genesis 10:2	Die Söhne Jafets waren: Gomer, Magog, Madai, Jawan, Tubal, Meschech und Tiras.
Genesis 10:3	Die Söhne Gomers waren: Aschkenas, Rifat und Togarma.
Genesis 10:4	Und die Söhne Jawans: Elischa und Tarschisch, die Kittäer und die Rodaniter.
Genesis 10:5	Von diesen aus haben sich die Bewohner der Meeresländer der heidnischen Völker abgezweigt. Dies sind die Söhne Jafets nach ihren Ländern, jeder nach seiner Sprache, nach ihren Geschlechtern, nach ihren Völkerschaften.
Genesis 10:6	Die Söhne Hams waren: Kusch, Mizraim, Put und Kanaan.
Genesis 10:7	Und die Söhne Kuschs: Seba, Hawila, Sabta, Ragma und Sabtecha; und die Söhne Ragmas: Saba und Dedan.
Genesis 10:8	Kusch war der Vater Nimrods; dieser wurde der erste Gewalthaber auf der Erde.
Genesis 10:9	Er war ein gewaltiger Jäger vor dem Herrn; darum pflegt man zu sagen: „Ein gewaltiger Jäger vor dem Herrn wie Nimrod.“
Genesis 10:10	Den Anfang seines Königtums bildeten Babel, Erech, Akkad und Kalne im Land Schinar.
Genesis 10:11	Von diesem Lande zog er nach Assur und erbaute Ninive, Rehobot-Ir und Kelach,
Genesis 10:12	dazu Resen zwischen Ninive und Kelach, das ist die große Stadt.
Genesis 10:13	Von Mizraim sodann stammen die Luditer, Anamiter, Lehabiter, Naftuhiter,
Genesis 10:14	Patrositer, Kasluhiter und Kaftoriter, von denen die Philister ausgegangen sind.
Genesis 10:15	Kanaan aber hatte zu Söhnen Sidon, seinen Erstgeborenen, und Het,
Genesis 10:16	ferner die Jebusiter, Amoriter, Girgaschiter,
Genesis 10:17	Hiwiter, Arkiter, Siniter,
Genesis 10:18	Arwaditer, Zemariter und Hamatiter. Später haben sich dann die Geschlechter der Kanaaniter zerstreut,
Genesis 10:19	sodass das Gebiet der Kanaaniter von Sidon in der Richtung auf Gerar bis Gaza, dann in der Richtung auf Sodom und Gomorra, Adma und Zebojim bis Lescha reichte.
Genesis 10:20	Dies sind die Söhne Hams nach ihren Stämmen, ihren Sprachen, ihren Ländern, ihren Völkerschaften.
Genesis 10:21	Aber auch dem Sem, dem Stammvater aller Söhne Ebers, dem älteren Bruder Jafets, wurden Söhne geboren.
Genesis 10:22	Die Söhne Sems waren: Elam, Assur, Arpachschad, Lud und Aram.
Genesis 10:23	Und die Söhne Arams waren: Uz, Hul, Geter und Masch.
Genesis 10:24	Arpachschad aber war der Vater Schelachs und Schelach der Vater Ebers.
Genesis 10:25	Dem Eber aber wurden zwei Söhne geboren; der eine hieß Peleg, weil sich die Erde zu seiner Zeit teilte; und sein Bruder hieß Joktan.
Genesis 10:26	Joktan hatte zu Söhnen Almodad, Schelef, Hazarmawet, Jerach,
Genesis 10:27	Hadoram, Usal, Dikla,
Genesis 10:28	Obal, Abimaël, Saba,
Genesis 10:29	Ofir, Hawila und Jobab; diese alle waren Söhne Joktans,
Genesis 10:30	und ihre Wohnsitze erstreckten sich von Mescha in der Richtung auf Sefar bis zum Ostgebirge.
Genesis 10:31	Dies sind die Söhne Sems nach ihren Geschlechtern, nach ihren Sprachen, ihren Ländern, ihren Völkerschaften.
Genesis 10:32	Dies sind die Geschlechter der Söhne Noachs nach ihrer Abstammung, nach ihren Völkerschaften; und von ihnen aus haben sich die Völker auf der Erde nach der Sintflut abgezweigt.
Genesis 11:1	Es hatte aber die ganze Erdbevölkerung eine einzige Sprache und einerlei Worte.
Genesis 11:2	Als sie nun nach Osten hin zogen, fanden sie eine Tiefebene im Lande Schinar und blieben dort wohnen.
Genesis 11:3	Da sagten sie zueinander: „Auf! Wir wollen Ziegel streichen und sie im Feuer hart brennen!“ So dienten ihnen denn die Ziegel als Bausteine, und das Erdharz diente ihnen als Mörtel.
Genesis 11:4	Dann sagten sie: „Auf! Wir wollen uns eine Stadt und einen Turm bauen, dessen Spitze bis in den Himmel reichen soll, und wollen uns einen Namen schaffen, damit wir uns nicht über die ganze Erde hin zerstreuen!“
Genesis 11:5	Da fuhr der Herr herab, um sich die Stadt und den Turm anzusehen, welche die Menschen erbauten.
Genesis 11:6	Da sagte der Herr: „Fürwahr, sie sind ein einziges Volk und haben alle dieselbe Sprache, und dies ist erst der Anfang ihres Unternehmens: Hinfort wird ihnen nichts mehr unausführbar sein, was sie sich vornehmen.
Genesis 11:7	Auf! Wir wollen hinabfahren und ihre Sprache dort verwirren, sodass keiner mehr die Sprache des anderen versteht!“
Genesis 11:8	So zerstreute sie denn der Herr von dort über die ganze Erde, sodass sie den Bau der Stadt aufgeben mussten.
Genesis 11:9	Daher gab man der Stadt den Namen Babel; denn dort hat der Herr die Sprache der ganzen Erdbevölkerung verwirrt und sie von dort über die ganze Erde zerstreut.
Genesis 11:10	Dies ist der Stammbaum Sems: Als Sem 100 Jahre alt war, wurde ihm Arpachschad geboren, zwei Jahre nach der Sintflut.
Genesis 11:11	Nach der Geburt Arpachschads aber lebte Sem noch 500 Jahre und hatte Söhne und Töchter.
Genesis 11:12	Als Arpachschad 35 Jahre alt war, wurde er der Vater Schelachs.
Genesis 11:13	Nach der Geburt Schelachs lebte Arpachschad noch 403 Jahre und hatte Söhne und Töchter.
Genesis 11:14	Als Schelach 30 Jahre alt war, wurde ihm sein Sohn Eber geboren.
Genesis 11:15	Nach der Geburt Ebers lebte Schelach noch 403 Jahre und hatte Söhne und Töchter.
Genesis 11:16	Als Eber 34 Jahre alt war, wurde ihm sein Sohn Peleg geboren.
Genesis 11:17	Nach der Geburt Pelegs lebte Eber noch 430 Jahre und hatte Söhne und Töchter.
Genesis 11:18	Als Peleg 30 Jahre alt war, wurde ihm sein Sohn Regu geboren.
Genesis 11:19	Nach der Geburt Regus lebte Peleg noch 209 Jahre und hatte Söhne und Töchter.
Genesis 11:20	Als Regu 32 Jahre alt war, wurde ihm sein Sohn Serug geboren.
Genesis 11:21	Nach der Geburt Serugs lebte Regu noch 207 Jahre und hatte Söhne und Töchter.
Genesis 11:22	Als Serug 30 Jahre alt war, wurde er der Vater Nahors.
Genesis 11:23	Nach der Geburt Nahors lebte Serug noch 200 Jahre und hatte Söhne und Töchter.
Genesis 11:24	Als Nahor 29 Jahre alt war, wurde er der Vater Terachs.
Genesis 11:25	Nach der Geburt Terachs lebte Nahor noch 119 Jahre und hatte Söhne und Töchter.
Genesis 11:26	Als Terach 70 Jahre alt war, wurden ihm seine Söhne Abram, Nahor und Haran geboren.
Genesis 11:27	Und dies ist der Stammbaum Terachs: Terach hatte drei Söhne: Abram, Nahor und Haran; Haran aber war der Vater Lots.
Genesis 11:28	Haran starb dann noch bei Lebzeiten seines Vaters Terach in seinem Geburtsland, zu Ur in Chaldäa.
Genesis 11:29	Abram und Nahor aber nahmen sich ebenfalls Frauen: Abrams Frau hieß Sarai, und Nahors Frau hieß Milka; diese war eine Tochter Harans, des Vaters der Milka und der Jiska.
Genesis 11:30	Sarai aber war unfruchtbar: Sie hatte keine Kinder.
Genesis 11:31	Da nahm Terach seinen Sohn Abram und seinen Enkel Lot, den Sohn Harans, und seine Schwiegertochter Sarai, die Frau seines Sohnes Abram, und zog mit ihnen aus Ur in Chaldäa weg, um sich ins Land Kanaan zu begeben; als sie aber bis Haran gekommen waren, blieben sie daselbst wohnen.
Genesis 11:32	Terach brachte hierauf sein Leben auf zweihundertfünf Jahre; dann starb er in Haran.
Genesis 12:1	Der Herr sprach zu Abram: „Verlass dein Land und deine Verwandtschaft und deines Vaters Haus und ziehe in das Land, das ich dir zeigen werde;
Genesis 12:2	denn ich will dich zu einem großen Volke machen und will dich segnen und deinen Namen groß machen, und du sollst ein Segen werden.
Genesis 12:3	Ich will die segnen, die dich segnen, und wer dich verflucht, den will ich verfluchen; und in dir sollen alle Geschlechter der Erde gesegnet werden.“
Genesis 12:4	Da machte sich Abram auf den Weg, wie der Herr ihm geboten hatte, auch Lot zog mit ihm; Abram aber war fünfundsiebzig Jahre alt, als er aus Haran aufbrach.
Genesis 12:5	Abram nahm also seine Frau Sarai und Lot, den Sohn seines Bruders, und alle Habe, die sie besaßen, und alles Gesinde, das sie in Haran erworben hatten, und so zogen sie aus, um nach dem Lande Kanaan zu wandern. Als sie nun in diesem Lande angekommen waren,
Genesis 12:6	zog Abram im Lande umher bis zu der heiligen Stätte von Sichem, bis zur Orakel-Terebinthe; die Kanaaniter wohnten damals im Lande.
Genesis 12:7	Da erschien der Herr dem Abram und sagte zu ihm: „Deinen Nachkommen will ich dieses Land geben!“ Da baute er dort dem Herrn, der ihm erschienen war, einen Altar.
Genesis 12:8	Hierauf zog er von dort weiter nach dem Berglande östlich von Bet-El und schlug sein Zelt zwischen Bet-El im Westen und Ai im Osten auf; dort baute er dem Herrn einen Altar und rief den Namen des Herrn an.
Genesis 12:9	Dann brach er wieder auf und zog immer weiter dem Negeb zu.
Genesis 12:10	Als dann eine Hungersnot im Lande ausbrach, zog Abram nach Ägypten hinab, um dort als Fremdling eine Zeit lang zu verbleiben; denn die Hungersnot lag schwer auf dem Lande.
Genesis 12:11	Als er nun auf seinem Zuge von Ägypten nicht mehr weit entfernt war, sagte er zu seiner Frau Sarai: „Ich weiß sehr wohl, dass du eine Frau von großer Schönheit bist.
Genesis 12:12	Wenn dich nun die Ägypter sehen und denken: ‚Das ist seine Frau‘, dann werden sie mich erschlagen, während sie dich am Leben lassen.
Genesis 12:13	Sage doch, du seiest meine Schwester, damit es mir um deinetwillen gut ergehe und ich, soweit es sich um dich handelt, am Leben bleibe.“
Genesis 12:14	Als nun Abram in Ägypten ankam, sahen die Ägypter, dass die Frau überaus schön war;
Genesis 12:15	und als die Hofleute des Pharaos sie zu Gesicht bekommen hatten, rühmten sie die Frau dem Pharao gegenüber; da wurde sie in dessen Palast geholt.
Genesis 12:16	Dem Abram aber bewies sich der Pharao um ihretwillen wohlwollend, sodass er Kleinvieh und Rinder, Esel, Knechte und Mägde, Eselinnen und Kamele geschenkt erhielt.
Genesis 12:17	Aber der Herr suchte den Pharao und sein Haus mit schweren Plagen heim wegen Sarai, der Frau Abrams.
Genesis 12:18	Da ließ der Pharao Abram rufen und sagte zu ihm: „Was hast du mir da angetan! Warum hast du mir nicht mitgeteilt, dass sie deine Frau ist?
Genesis 12:19	Warum hast du sie für deine Schwester ausgegeben, sodass ich sie mir zur Frau genommen habe? Doch nun – hier hast du deine Frau: Nimm sie und gehe!“
